2020-08-12 21:01:56 startup archives unpack
2020-08-12 21:01:57 install python-gunicorn:all <none> 19.9.0-1
2020-08-12 21:01:57 status half-installed python-gunicorn:all 19.9.0-1
2020-08-12 21:01:58 status unpacked python-gunicorn:all 19.9.0-1
2020-08-12 21:02:00 install gunicorn:all <none> 19.9.0-1
2020-08-12 21:02:00 status half-installed gunicorn:all 19.9.0-1
2020-08-12 21:02:00 status triggers-pending man-db:armhf 2.8.5-2
2020-08-12 21:02:00 status unpacked gunicorn:all 19.9.0-1
2020-08-12 21:02:00 startup packages configure
2020-08-12 21:02:00 configure python-gunicorn:all 19.9.0-1 <none>
2020-08-12 21:02:00 status unpacked python-gunicorn:all 19.9.0-1
2020-08-12 21:02:01 status half-configured python-gunicorn:all 19.9.0-1
2020-08-12 21:02:02 status installed python-gunicorn:all 19.9.0-1
2020-08-12 21:02:02 configure gunicorn:all 19.9.0-1 <none>
2020-08-12 21:02:02 status unpacked gunicorn:all 19.9.0-1
2020-08-12 21:02:02 status half-configured gunicorn:all 19.9.0-1
2020-08-12 21:02:02 status installed gunicorn:all 19.9.0-1
2020-08-12 21:02:02 trigproc man-db:armhf 2.8.5-2 <none>
2020-08-12 21:02:02 status half-configured man-db:armhf 2.8.5-2
2020-08-12 21:02:03 status installed man-db:armhf 2.8.5-2
2020-08-15 11:24:46 startup archives unpack
2020-08-15 11:24:49 install libxxf86dga1:armhf <none> 2:1.1.4-1
2020-08-15 11:24:49 status half-installed libxxf86dga1:armhf 2:1.1.4-1
2020-08-15 11:24:49 status unpacked libxxf86dga1:armhf 2:1.1.4-1
2020-08-15 11:24:49 install fontconfig:armhf <none> 2.13.1-2
2020-08-15 11:24:49 status half-installed fontconfig:armhf 2.13.1-2
2020-08-15 11:24:49 status triggers-pending man-db:armhf 2.8.5-2
2020-08-15 11:24:49 status unpacked fontconfig:armhf 2.13.1-2
2020-08-15 11:24:49 install liba52-0.7.4:armhf <none> 0.7.4-19
2020-08-15 11:24:49 status triggers-pending libc-bin:armhf 2.28-10+rpi1
2020-08-15 11:24:49 status half-installed liba52-0.7.4:armhf 0.7.4-19
2020-08-15 11:24:50 status unpacked liba52-0.7.4:armhf 0.7.4-19
2020-08-15 11:24:50 install libaa1:armhf <none> 1.4p5-46
2020-08-15 11:24:50 status half-installed libaa1:armhf 1.4p5-46
2020-08-15 11:24:50 status unpacked libaa1:armhf 1.4p5-46
2020-08-15 11:24:50 install libaacs0:armhf <none> 0.9.0-2
2020-08-15 11:24:50 status half-installed libaacs0:armhf 0.9.0-2
2020-08-15 11:24:50 status unpacked libaacs0:armhf 0.9.0-2
2020-08-15 11:24:50 install libaom0:armhf <none> 1.0.0-3
2020-08-15 11:24:50 status half-installed libaom0:armhf 1.0.0-3
2020-08-15 11:24:51 status unpacked libaom0:armhf 1.0.0-3
2020-08-15 11:24:52 install libgraphite2-3:armhf <none> 1.3.13-7
2020-08-15 11:24:52 status half-installed libgraphite2-3:armhf 1.3.13-7
2020-08-15 11:24:52 status unpacked libgraphite2-3:armhf 1.3.13-7
2020-08-15 11:24:52 install libharfbuzz0b:armhf <none> 2.3.1-1
2020-08-15 11:24:52 status half-installed libharfbuzz0b:armhf 2.3.1-1
2020-08-15 11:24:52 status unpacked libharfbuzz0b:armhf 2.3.1-1
2020-08-15 11:24:52 install libass9:armhf <none> 1:0.14.0-2
2020-08-15 11:24:52 status half-installed libass9:armhf 1:0.14.0-2
2020-08-15 11:24:52 status unpacked libass9:armhf 1:0.14.0-2
2020-08-15 11:24:53 install libasyncns0:armhf <none> 0.8-6
2020-08-15 11:24:53 status half-installed libasyncns0:armhf 0.8-6
2020-08-15 11:24:53 status unpacked libasyncns0:armhf 0.8-6
2020-08-15 11:24:53 install x11-common:all <none> 1:7.7+19
2020-08-15 11:24:53 status half-installed x11-common:all 1:7.7+19
2020-08-15 11:24:53 status triggers-pending systemd:armhf 241-7~deb10u4+rpi1
2020-08-15 11:24:53 status unpacked x11-common:all 1:7.7+19
2020-08-15 11:24:53 install libice6:armhf <none> 2:1.0.9-2
2020-08-15 11:24:53 status half-installed libice6:armhf 2:1.0.9-2
2020-08-15 11:24:53 status unpacked libice6:armhf 2:1.0.9-2
2020-08-15 11:24:53 install libsm6:armhf <none> 2:1.2.3-1
2020-08-15 11:24:53 status half-installed libsm6:armhf 2:1.2.3-1
2020-08-15 11:24:53 status unpacked libsm6:armhf 2:1.2.3-1
2020-08-15 11:24:54 install libxt6:armhf <none> 1:1.1.5-1+b3
2020-08-15 11:24:54 status half-installed libxt6:armhf 1:1.1.5-1+b3
2020-08-15 11:24:54 status unpacked libxt6:armhf 1:1.1.5-1+b3
2020-08-15 11:24:54 install libaudio2:armhf <none> 1.9.4-6
2020-08-15 11:24:54 status half-installed libaudio2:armhf 1.9.4-6
2020-08-15 11:24:54 status unpacked libaudio2:armhf 1.9.4-6
2020-08-15 11:24:54 install libdrm-common:all <none> 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:24:54 status half-installed libdrm-common:all 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:24:54 status unpacked libdrm-common:all 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:24:54 install libdrm2:armhf <none> 2.4.100-4+rpi1~bpo10+1
2020-08-15 11:24:54 status half-installed libdrm2:armhf 2.4.100-4+rpi1~bpo10+1
